LATITUDE,LONGITUDE,BRIGHTNESS,ACQ_DATE,ACQ_TIME,suburb
-37.2798,148.2989,329.0,2019-11-25,1240,W TREE
-37.2816,148.281,335.5,2019-11-25,1240,BUTCHERS RIDGE
-37.2833,148.2639,341.4,2019-11-25,1240,BUTCHERS RIDGE
-37.285,148.2469,344.5,2019-11-25,1240,BUTCHERS RIDGE
-37.2639,148.3459,315.4,2019-11-25,1240,YALMY
-37.2655,148.3294,339.0,2019-11-25,1240,GELANTIPY
-37.266999999999996,148.3144,327.8,2019-11-25,1240,GELANTIPY
-37.2687,148.2975,319.0,2019-11-25,1240,W TREE
-37.2705,148.2799,334.6,2019-11-25,1240,BUTCHERS RIDGE
-37.2722,148.2622,310.4,2019-11-25,1240,BUTCHERS RIDGE
-37.2544,148.3284,338.7,2019-11-25,1240,GELANTIPY
-37.2559,148.3131,324.3,2019-11-25,1240,GELANTIPY
-37.2594,148.2785,313.0,2019-11-25,1240,BUTCHERS RIDGE
-37.6909,145.0363,317.5,2019-11-27,26,THOMASTOWN
-37.7133,144.8666,317.0,2019-11-27,26,TULLAMARINE
-37.8194,145.2971,315.5,2019-11-27,26,BAYSWATER NORTH
-37.8451,145.2797,316.7,2019-11-27,26,BAYSWATER
-37.903,145.2375,314.4,2019-11-27,26,KNOXFIELD
-37.9046,145.249,314.0,2019-11-27,26,KNOXFIELD
-38.1898,146.5572,315.3,2019-11-27,26,TRARALGON
-38.1032,145.4928,306.4,2019-11-27,26,PAKENHAM
-38.1634,145.9422,309.7,2019-11-27,26,WARRAGUL
-38.0962,145.1709,315.2,2019-11-27,26,CARRUM DOWNS
-37.6264,148.0284,324.0,2019-11-27,440,BUCHAN SOUTH
-37.6316,148.0044,338.9,2019-11-27,440,NOWA NOWA
-36.9326,141.8642,326.5,2019-11-27,441,CLEAR LAKE
-37.6518,148.0106,300.6,2019-11-27,1227,NOWA NOWA
-37.6241,148.0081,303.6,2019-11-27,1227,BUCHAN SOUTH
-37.6813,148.006,313.6,2019-11-28,345,NOWA NOWA
-37.6831,147.988,320.0,2019-11-28,345,NOWA NOWA
-37.6683,148.0225,331.5,2019-11-28,345,NOWA NOWA
-37.67,148.0045,368.4,2019-11-28,345,NOWA NOWA
-37.6717,147.9867,344.7,2019-11-28,345,NOWA NOWA
-37.657,148.0208,344.5,2019-11-28,345,NOWA NOWA
-37.6588,148.0027,338.2,2019-11-28,345,NOWA NOWA
-37.6458,148.0191,329.4,2019-11-28,345,NOWA NOWA
-37.6397,147.963,315.7,2019-11-28,345,NOWA NOWA
-37.6414,147.9446,313.2,2019-11-28,345,NOWA NOWA
-37.6232,148.016,374.1,2019-11-28,345,BUCHAN SOUTH
-37.625,147.9977,370.5,2019-11-28,345,BUCHAN SOUTH
